row_num,year,freq,cont,loc1,loc2,loc3
1,1900,5,Africa,Southwest Indian Ridge,Ethiopia,Owen Fracture Zone region
2,1910,6,Africa,Tanzania,South Indian Ocean,Mozambique Channel
3,1920,16,Africa,South Sandwich Islands region,South Indian Ocean,Southern Mid-Atlantic Ridge
4,1930,11,Africa,South Sandwich Islands region,Near the coast of Libya,Southwest Indian Ridge
5,1940,9,Africa,South Sandwich Islands region,South Indian Ocean,North of Ascension Island
6,1950,7,Africa,South Sandwich Islands region,Gulf of Aden,Owen Fracture Zone region
7,1960,30,Africa,South Sandwich Islands region,South of Africa,Ethiopia
8,1970,31,Africa,South Sandwich Islands region,Central Mid-Atlantic Ridge,Bouvet Island region
9,1980,50,Africa,South Sandwich Islands region,Ethiopia,Central Mid-Atlantic Ridge
10,1990,52,Africa,South Sandwich Islands region,North of Ascension Island,Central Mid-Atlantic Ridge
11,2000,64,Africa,South Sandwich Islands region,Central Mid-Atlantic Ridge,Prince Edward Islands region
12,1900,2,Antartica,Scotia Sea,Southwestern Atlantic Ocean,N/A
13,1910,1,Antartica,Antarctica,N/A,N/A
14,1920,1,Antartica,South Sandwich Islands region,N/A,N/A
15,1930,3,Antartica,Scotia Sea,South Sandwich Islands region,Drake Passage
16,1940,6,Antartica,South Sandwich Islands region,East of the South Sandwich Islands,Scotia Sea
17,1950,1,Antartica,Scotia Sea,N/A,N/A
18,1960,5,Antartica,East of the South Sandwich Islands,Balleny Islands region,South Sandwich Islands region
19,1970,11,Antartica,West of Macquarie Island,Scotia Sea,South Sandwich Islands region
20,1980,12,Antartica,South Sandwich Islands region,South Shetland Islands,Scotia Sea
21,1990,14,Antartica,Balleny Islands region,West of Macquarie Island,South Sandwich Islands region
22,2000,18,Antartica,South Sandwich Islands region,West of Macquarie Island,East of the South Sandwich Islands
23,1900,149,Asia,"Hindu Kush region, Afghanistan","East coast of Honshu, Japan",Taiwan
24,1910,161,Asia,"East coast of Honshu, Japan",Kuril Islands,Taiwan
25,1920,172,Asia,Kuril Islands,"South coast of Honshu, Japan","Mindanao, Philippines"
26,1930,172,Asia,"East coast of Honshu, Japan",Kuril Islands,Molucca Sea
27,1940,190,Asia,Kuril Islands,"South coast of western Honshu, Japan","Hokkaido, Japan region"
28,1950,171,Asia,Kuril Islands,"East coast of the Kamchatka Peninsula, Russia",Taiwan
29,1960,238,Asia,Kuril Islands,"Rat Islands, Aleutian Islands, Alaska",Banda Sea
30,1970,386,Asia,Kuril Islands,"Mindanao, Philippines",Taiwan region
31,1980,381,Asia,Eastern Kazakhstan,"Mindanao, Philippines",Molucca Sea
32,1990,466,Asia,Kuril Islands,"Off the east coast of Honshu, Japan","Hindu Kush region, Afghanistan"
33,2000,592,Asia,Kuril Islands,Banda Sea,"Southern Sumatra, Indonesia"
34,1900,10,Europe,Central Turkey,"Sicily, Italy",Romania
35,1910,11,Europe,Central Turkey,Svalbard region,Central Italy
36,1920,9,Europe,Bulgaria,Southern Greece,Eastern Mediterranean Sea
37,1930,11,Europe,Southern Greece,Eastern Turkey,Azores Islands region
38,1940,10,Europe,Central Turkey,Azores-Cape St. Vincent Ridge,Eastern Turkey
39,1950,21,Europe,Greece,Western Turkey,Jan Mayen Island region
